# object_id,ra,dec,z
43158464205170868,150.510995,2.458346,0.460600
43158876522026954,149.956660,2.459380,0.968500
43158326766213407,150.533904,2.479682,0.137200
43158464205194511,150.496100,2.495676,2.514000
43158326766237478,150.531092,2.497092,1.798200
43158743378057032,150.147101,2.516601,0.587100
43158331061196136,150.636904,2.533979,1.503000
43158468500152413,150.375181,2.557437,1.785400
43159018255963963,149.594315,2.567226,2.498100
43158193622239575,150.753347,2.576535,0.199300
43158743378044054,150.099336,2.579067,0.328000
43158880817013321,149.860645,2.579571,1.761300
43159018255945093,149.752914,2.600921,1.442500
43158880817015255,149.965112,2.612321,2.967900
43158331061202570,150.576977,2.657085,1.103800
43158743378041542,150.039710,2.670096,2.051600
43158743378067303,150.042588,2.675397,0.145100
43158880817019482,149.924162,2.697461,2.507300
43158335356150454,150.592768,2.709999,0.760100
43158747673024431,150.065664,2.710672,2.713600
43158610234070635,150.276507,2.716507,3.437600
43158335356142664,150.628284,2.722470,0.930400
43158335356162324,150.571203,2.748979,1.298700
43158610234051292,150.212943,2.765673,1.816900
43158335356164721,150.530889,2.801867,1.377900
43158747673029924,150.139004,2.804514,0.933200
43158584464270119,150.192211,1.662915,0.229900
43158721903204100,150.026393,1.724370,0.219100
43158859342179123,149.884840,1.731710,1.520600
43158721903228044,150.088362,1.747097,1.186100
43158584464251964,150.198358,1.749432,0.254600
43158584464276740,150.232764,1.756933,2.023100
43158996781124471,149.597868,1.759966,1.427400
43158859342158661,149.932126,1.764111,1.553700
43158863637119255,149.905429,1.766552,2.723500
43158588759212740,150.260010,1.776591,0.971200
43159001076073223,149.621471,1.782713,1.285700
43158588759213131,150.173427,1.784831,0.717000
43159138515043940,149.548261,1.802055,0.477700
43158726198173835,150.069667,1.806829,1.056900
43158451320267536,150.470348,1.835048,2.760500
43158726198174315,149.974093,1.841463,1.129700
43158588759239434,150.242990,1.842311,1.597200
43158451320284836,150.490962,1.851412,0.825700
43158451320285405,150.355290,1.855995,0.951700
43158726198169716,150.080663,1.871296,1.803500
43158726198170030,150.092098,1.878982,1.364300
43158726198170602,150.084096,1.893493,1.193300
43158726198170627,150.041436,1.894130,2.789300
43158313881332424,150.680721,1.897151,2.829200
43158451320288459,150.353259,1.904960,0.115000
